Week,Rainfall(mm/week),CloudMovementSpeed(km/h),WindSpeed(km/h),SunlightDuration(hrs/day),ExtremeWeatherDays,SoilType,TerrainType,FertilizerType,FertilizerSuitability,SoilMoisture(%),CropType,Viability,GrowthGrade
1,210,50,30,5,4,Loam,Upland,NPK,No,100,Corn,Not Viable,Poor
1,210,50,30,5,4,Loam,Upland,Ammonium Sulfate,No,100,Okra,Not Viable,Poor
1,210,50,30,5,4,Loam,Slope,Not,No,92,Chili,Not Viable,Poor
1,210,50,30,5,4,Loam,Slope,Organic,Yes,94,Kangkung,Viable,Good
1,210,50,30,5,4,Loam,Slope,NPK,No,94,Chili,Not Viable,Poor
1,210,50,30,5,4,Loam,Slope,Ammonium Sulfate,No,100,Kangkung,Not Viable,Poor
2,230,55,32,4.5,5,Sandy,Lowland,Not,No,100,Kangkung,Not Viable,Poor
2,230,55,32,4.5,5,Sandy,Lowland,Organic,No,100,Kangkung,Not Viable,Poor
2,230,55,32,4.5,5,Sandy,Lowland,NPK,Yes,100,Corn,Not Viable,Poor
2,230,55,32,4.5,5,Sandy,Lowland,Ammonium Sulfate,No,100,Sweet Potato,Not Viable,Poor
2,230,55,32,4.5,5,Sandy,Upland,Not,No,100,Okra,Not Viable,Poor
2,230,55,32,4.5,5,Sandy,Upland,Organic,No,100,Kangkung,Not Viable,Poor
2,230,55,32,4.5,5,Sandy,Upland,NPK,Yes,100,Chili,Not Viable,Poor
2,230,55,32,4.5,5,Sandy,Upland,Ammonium Sulfate,No,100,Chili,Not Viable,Poor
2,230,55,32,4.5,5,Sandy,Slope,Not,No,91,Kangkung,Not Viable,Poor
2,230,55,32,4.5,5,Sandy,Slope,Organic,No,93,Chili,Not Viable,Poor
2,230,55,32,4.5,5,Sandy,Slope,NPK,Yes,97,Okra,Not Viable,Poor
2,230,55,32,4.5,5,Sandy,Slope,Ammonium Sulfate,No,93,Chili,Not Viable,Poor
2,230,55,32,4.5,5,Clay,Lowland,Not,No,100,Corn,Not Viable,Poor
2,230,55,32,4.5,5,Clay,Lowland,Organic,No,100,Sweet Potato,Not Viable,Poor
2,230,55,32,4.5,5,Clay,Lowland,NPK,No,100,Okra,Not Viable,Poor
2,230,55,32,4.5,5,Clay,Lowland,Ammonium Sulfate,No,100,Sweet Potato,Not Viable,Poor
2,230,55,32,4.5,5,Clay,Upland,Not,No,100,Kangkung,Not Viable,Poor
2,230,55,32,4.5,5,Clay,Upland,Organic,No,100,Kangkung,Not Viable,Poor
2,230,55,32,4.5,5,Clay,Upland,NPK,No,100,Chili,Not Viable,Poor
2,230,55,32,4.5,5,Clay,Upland,Ammonium Sulfate,No,100,Kangkung,Not Viable,Poor
2,230,55,32,4.5,5,Clay,Slope,Not,No,100,Sweet Potato,Not Viable,Poor
2,230,55,32,4.5,5,Clay,Slope,Organic,No,100,Okra,Not Viable,Poor
2,230,55,32,4.5,5,Clay,Slope,NPK,No,100,Okra,Not Viable,Poor
2,230,55,32,4.5,5,Clay,Slope,Ammonium Sulfate,No,100,Sweet Potato,Not Viable,Poor
2,230,55,32,4.5,5,Loam,Lowland,Not,No,100,Chili,Not Viable,Poor
2,230,55,32,4.5,5,Loam,Lowland,Organic,Yes,100,Sweet Potato,Not Viable,Poor
2,230,55,32,4.5,5,Loam,Lowland,NPK,No,100,Sweet Potato,Not Viable,Poor
2,230,55,32,4.5,5,Loam,Lowland,Ammonium Sulfate,No,100,Corn,Not Viable,Poor
2,230,55,32,4.5,5,Loam,Upland,Not,No,100,Corn,Not Viable,Poor
2,230,55,32,4.5,5,Loam,Upland,Organic,Yes,100,Sweet Potato,Not Viable,Poor
2,230,55,32,4.5,5,Loam,Upland,NPK,No,100,Kangkung,Not Viable,Poor
2,230,55,32,4.5,5,Loam,Upland,Ammonium Sulfate,No,100,Corn,Not Viable,Poor
2,230,55,32,4.5,5,Loam,Slope,Not,No,100,Corn,Not Viable,Poor
2,230,55,32,4.5,5,Loam,Slope,Organic,Yes,100,Sweet Potato,Not Viable,Poor
2,230,55,32,4.5,5,Loam,Slope,NPK,No,100,Okra,Not Viable,Poor
2,230,55,32,4.5,5,Loam,Slope,Ammonium Sulfate,No,100,Corn,Not Viable,Poor
3,190,48,28,5.2,3,Sandy,Lowland,Not,No,99,Kangkung,Not Viable,Poor
3,190,48,28,5.2,3,Sandy,Lowland,Organic,No,93,Sweet Potato,Not Viable,Poor
3,190,48,28,5.2,3,Sandy,Lowland,NPK,Yes,100,Corn,Viable,Good
3,190,48,28,5.2,3,Sandy,Lowland,Ammonium Sulfate,No,99,Okra,Not Viable,Poor
3,190,48,28,5.2,3,Sandy,Upland,Not,No,87,Corn,Not Viable,Poor
3,190,48,28,5.2,3,Sandy,Upland,Organic,No,80,Chili,Not Viable,Poor
3,190,48,28,5.2,3,Sandy,Upland,NPK,Yes,83,Corn,Viable,Good
3,190,48,28,5.2,3,Sandy,Upland,Ammonium Sulfate,No,80,Sweet Potato,Not Viable,Poor
3,190,48,28,5.2,3,Sandy,Slope,Not,No,72,Corn,Not Viable,Poor
3,190,48,28,5.2,3,Sandy,Slope,Organic,No,78,Corn,Not Viable,Poor
3,190,48,28,5.2,3,Sandy,Slope,NPK,Yes,74,Kangkung,Viable,Good
3,190,48,28,5.2,3,Sandy,Slope,Ammonium Sulfate,No,78,Corn,Not Viable,Poor
3,190,48,28,5.2,3,Clay,Lowland,Not,No,100,Sweet Potato,Not Viable,Poor
3,190,48,28,5.2,3,Clay,Lowland,Organic,No,100,Okra,Not Viable,Poor
3,190,48,28,5.2,3,Clay,Lowland,NPK,No,100,Sweet Potato,Not Viable,Poor
3,190,48,28,5.2,3,Clay,Lowland,Ammonium Sulfate,No,100,Sweet Potato,Not Viable,Poor
3,190,48,28,5.2,3,Clay,Upland,Not,No,100,Corn,Not Viable,Poor
3,190,48,28,5.2,3,Clay,Upland,Organic,No,100,Corn,Not Viable,Poor
3,190,48,28,5.2,3,Clay,Upland,NPK,No,100,Kangkung,Not Viable,Poor
3,190,48,28,5.2,3,Clay,Upland,Ammonium Sulfate,No,100,Sweet Potato,Not Viable,Poor
3,190,48,28,5.2,3,Clay,Slope,Not,No,94,Kangkung,Not Viable,Poor
3,190,48,28,5.2,3,Clay,Slope,Organic,No,93,Kangkung,Not Viable,Poor
3,190,48,28,5.2,3,Clay,Slope,NPK,No,93,Chili,Not Viable,Poor
3,190,48,28,5.2,3,Clay,Slope,Ammonium Sulfate,No,96,Okra,Not Viable,Poor
3,190,48,28,5.2,3,Loam,Lowland,Not,No,100,Chili,Not Viable,Poor
3,190,48,28,5.2,3,Loam,Lowland,Organic,Yes,100,Chili,Viable,Good
3,190,48,28,5.2,3,Loam,Lowland,NPK,No,100,Chili,Not Viable,Poor
3,190,48,28,5.2,3,Loam,Lowland,Ammonium Sulfate,No,100,Chili,Not Viable,Poor
3,190,48,28,5.2,3,Loam,Upland,Not,No,95,Kangkung,Not Viable,Poor
3,190,48,28,5.2,3,Loam,Upland,Organic,Yes,93,Okra,Viable,Good
3,190,48,28,5.2,3,Loam,Upland,NPK,No,96,Sweet Potato,Not Viable,Poor
3,190,48,28,5.2,3,Loam,Upland,Ammonium Sulfate,No,92,Chili,Not Viable,Poor
3,190,48,28,5.2,3,Loam,Slope,Not,No,86,Corn,Not Viable,Poor
3,190,48,28,5.2,3,Loam,Slope,Organic,Yes,86,Kangkung,Viable,Good
3,190,48,28,5.2,3,Loam,Slope,NPK,No,81,Okra,Not Viable,Poor
3,190,48,28,5.2,3,Loam,Slope,Ammonium Sulfate,No,84,Sweet Potato,Not Viable,Poor
4,240,58,35,4.2,6,Sandy,Lowland,Not,No,100,Sweet Potato,Not Viable,Poor
4,240,58,35,4.2,6,Sandy,Lowland,Organic,No,100,Sweet Potato,Not Viable,Poor
4,240,58,35,4.2,6,Sandy,Lowland,NPK,Yes,100,Okra,Not Viable,Poor
4,240,58,35,4.2,6,Sandy,Lowland,Ammonium Sulfate,No,100,Okra,Not Viable,Poor
4,240,58,35,4.2,6,Sandy,Upland,Not,No,100,Okra,Not Viable,Poor
4,240,58,35,4.2,6,Sandy,Upland,Organic,No,100,Chili,Not Viable,Poor
4,240,58,35,4.2,6,Sandy,Upland,NPK,Yes,100,Okra,Not Viable,Poor
4,240,58,35,4.2,6,Sandy,Upland,Ammonium Sulfate,No,100,Chili,Not Viable,Poor
4,240,58,35,4.2,6,Sandy,Slope,Not,No,100,Corn,Not Viable,Poor
4,240,58,35,4.2,6,Sandy,Slope,Organic,No,100,Kangkung,Not Viable,Poor
4,240,58,35,4.2,6,Sandy,Slope,NPK,Yes,100,Corn,Not Viable,Poor
4,240,58,35,4.2,6,Sandy,Slope,Ammonium Sulfate,No,98,Okra,Not Viable,Poor
4,240,58,35,4.2,6,Clay,Lowland,Not,No,100,Kangkung,Not Viable,Poor
4,240,58,35,4.2,6,Clay,Lowland,Organic,No,100,Okra,Not Viable,Poor
4,240,58,35,4.2,6,Clay,Lowland,NPK,No,100,Chili,Not Viable,Poor
4,240,58,35,4.2,6,Clay,Lowland,Ammonium Sulfate,No,100,Kangkung,Not Viable,Poor
4,240,58,35,4.2,6,Clay,Upland,Not,No,100,Kangkung,Not Viable,Poor
4,240,58,35,4.2,6,Clay,Upland,Organic,No,100,Chili,Not Viable,Poor
4,240,58,35,4.2,6,Clay,Upland,NPK,No,100,Corn,Not Viable,Poor
4,240,58,35,4.2,6,Clay,Upland,Ammonium Sulfate,No,100,Kangkung,Not Viable,Poor
4,240,58,35,4.2,6,Clay,Slope,Not,No,100,Sweet Potato,Not Viable,Poor
4,240,58,35,4.2,6,Clay,Slope,Organic,No,100,Corn,Not Viable,Poor
4,240,58,35,4.2,6,Clay,Slope,NPK,No,100,Chili,Not Viable,Poor
4,240,58,35,4.2,6,Clay,Slope,Ammonium Sulfate,No,100,Chili,Not Viable,Poor
4,240,58,35,4.2,6,Loam,Lowland,Not,No,100,Kangkung,Not Viable,Poor
4,240,58,35,4.2,6,Loam,Lowland,Organic,Yes,100,Kangkung,Not Viable,Poor
4,240,58,35,4.2,6,Loam,Lowland,NPK,No,100,Kangkung,Not Viable,Poor
4,240,58,35,4.2,6,Loam,Lowland,Ammonium Sulfate,No,100,Okra,Not Viable,Poor
4,240,58,35,4.2,6,Loam,Upland,Not,No,100,Chili,Not Viable,Poor
4,240,58,35,4.2,6,Loam,Upland,Organic,Yes,100,Kangkung,Not Viable,Poor
4,240,58,35,4.2,6,Loam,Upland,NPK,No,100,Corn,Not Viable,Poor
4,240,58,35,4.2,6,Loam,Upland,Ammonium Sulfate,No,100,Sweet Potato,Not Viable,Poor
4,240,58,35,4.2,6,Loam,Slope,Not,No,100,Okra,Not Viable,Poor
4,240,58,35,4.2,6,Loam,Slope,Organic,Yes,100,Kangkung,Not Viable,Poor
4,240,58,35,4.2,6,Loam,Slope,NPK,No,100,Chili,Not Viable,Poor
4,240,58,35,4.2,6,Loam,Slope,Ammonium Sulfate,No,100,Sweet Potato,Not Viable,Poor
5,200,45,25,5.5,3,Sandy,Lowland,Not,No,100,Corn,Not Viable,Poor
5,200,45,25,5.5,3,Sandy,Lowland,Organic,No,96,Kangkung,Not Viable,Poor
5,200,45,25,5.5,3,Sandy,Lowland,NPK,Yes,97,Corn,Viable,Good
5,200,45,25,5.5,3,Sandy,Lowland,Ammonium Sulfate,No,100,Sweet Potato,Not Viable,Poor
5,200,45,25,5.5,3,Sandy,Upland,Not,No,86,Chili,Not Viable,Poor
5,200,45,25,5.5,3,Sandy,Upland,Organic,No,87,Okra,Not Viable,Poor
5,200,45,25,5.5,3,Sandy,Upland,NPK,Yes,87,Corn,Viable,Good
5,200,45,25,5.5,3,Sandy,Upland,Ammonium Sulfate,No,94,Kangkung,Not Viable,Poor
5,200,45,25,5.5,3,Sandy,Slope,Not,No,81,Kangkung,Not Viable,Poor
5,200,45,25,5.5,3,Sandy,Slope,Organic,No,85,Sweet Potato,Not Viable,Poor
5,200,45,25,5.5,3,Sandy,Slope,NPK,Yes,85,Chili,Viable,Good
5,200,45,25,5.5,3,Sandy,Slope,Ammonium Sulfate,No,75,Corn,Not Viable,Poor
5,200,45,25,5.5,3,Clay,Lowland,Not,No,100,Okra,Not Viable,Poor
5,200,45,25,5.5,3,Clay,Lowland,Organic,No,100,Okra,Not Viable,Poor
5,200,45,25,5.5,3,Clay,Lowland,NPK,No,100,Kangkung,Not Viable,Poor
5,200,45,25,5.5,3,Clay,Lowland,Ammonium Sulfate,No,100,Kangkung,Not Viable,Poor
5,200,45,25,5.5,3,Clay,Upland,Not,No,100,Chili,Not Viable,Poor
5,200,45,25,5.5,3,Clay,Upland,Organic,No,100,Sweet Potato,Not Viable,Poor
5,200,45,25,5.5,3,Clay,Upland,NPK,No,100,Chili,Not Viable,Poor
5,200,45,25,5.5,3,Clay,Upland,Ammonium Sulfate,No,100,Kangkung,Not Viable,Poor
5,200,45,25,5.5,3,Clay,Slope,Not,No,100,Sweet Potato,Not Viable,Poor
5,200,45,25,5.5,3,Clay,Slope,Organic,No,95,Corn,Not Viable,Poor
5,200,45,25,5.5,3,Clay,Slope,NPK,No,100,Chili,Not Viable,Poor
5,200,45,25,5.5,3,Clay,Slope,Ammonium Sulfate,No,100,Sweet Potato,Not Viable,Poor
5,200,45,25,5.5,3,Loam,Lowland,Not,No,100,Kangkung,Not Viable,Poor
5,200,45,25,5.5,3,Loam,Lowland,Organic,Yes,100,Sweet Potato,Viable,Good
5,200,45,25,5.5,3,Loam,Lowland,NPK,No,100,Corn,Not Viable,Poor
5,200,45,25,5.5,3,Loam,Lowland,Ammonium Sulfate,No,100,Sweet Potato,Not Viable,Poor
5,200,45,25,5.5,3,Loam,Upland,Not,No,100,Kangkung,Not Viable,Poor
5,200,45,25,5.5,3,Loam,Upland,Organic,Yes,98,Kangkung,Viable,Good
5,200,45,25,5.5,3,Loam,Upland,NPK,No,100,Kangkung,Not Viable,Poor
5,200,45,25,5.5,3,Loam,Upland,Ammonium Sulfate,No,100,Okra,Not Viable,Poor
5,200,45,25,5.5,3,Loam,Slope,Not,No,94,Okra,Not Viable,Poor
5,200,45,25,5.5,3,Loam,Slope,Organic,Yes,86,Corn,Viable,Good
5,200,45,25,5.5,3,Loam,Slope,NPK,No,92,Kangkung,Not Viable,Poor
5,200,45,25,5.5,3,Loam,Slope,Ammonium Sulfate,No,87,Kangkung,Not Viable,Poor
6,180,42,24,5.8,2,Sandy,Lowland,Not,No,86,Okra,Not Viable,Poor
6,180,42,24,5.8,2,Sandy,Lowland,Organic,No,90,Kangkung,Not Viable,Poor
6,180,42,24,5.8,2,Sandy,Lowland,NPK,Yes,91,Corn,Viable,Good
6,180,42,24,5.8,2,Sandy,Lowland,Ammonium Sulfate,No,89,Chili,Not Viable,Poor
6,180,42,24,5.8,2,Sandy,Upland,Not,No,80,Okra,Not Viable,Poor
6,180,42,24,5.8,2,Sandy,Upland,Organic,No,76,Chili,Not Viable,Poor
6,180,42,24,5.8,2,Sandy,Upland,NPK,Yes,79,Okra,Viable,Good
6,180,42,24,5.8,2,Sandy,Upland,Ammonium Sulfate,No,79,Kangkung,Not Viable,Poor
6,180,42,24,5.8,2,Sandy,Slope,Not,No,65,Sweet Potato,Not Viable,Poor
6,180,42,24,5.8,2,Sandy,Slope,Organic,No,71,Corn,Not Viable,Poor
6,180,42,24,5.8,2,Sandy,Slope,NPK,Yes,70,Kangkung,Viable,Good
6,180,42,24,5.8,2,Sandy,Slope,Ammonium Sulfate,No,66,Kangkung,Not Viable,Poor
6,180,42,24,5.8,2,Clay,Lowland,Not,No,100,Chili,Not Viable,Poor
6,180,42,24,5.8,2,Clay,Lowland,Organic,No,100,Corn,Not Viable,Poor
6,180,42,24,5.8,2,Clay,Lowland,NPK,No,100,Chili,Not Viable,Poor
6,180,42,24,5.8,2,Clay,Lowland,Ammonium Sulfate,No,100,Kangkung,Not Viable,Poor
6,180,42,24,5.8,2,Clay,Upland,Not,No,100,Okra,Not Viable,Poor
6,180,42,24,5.8,2,Clay,Upland,Organic,No,96,Chili,Not Viable,Poor
6,180,42,24,5.8,2,Clay,Upland,NPK,No,97,Sweet Potato,Not Viable,Poor
6,180,42,24,5.8,2,Clay,Upland,Ammonium Sulfate,No,100,Kangkung,Not Viable,Poor
6,180,42,24,5.8,2,Clay,Slope,Not,No,89,Okra,Not Viable,Poor
6,180,42,24,5.8,2,Clay,Slope,Organic,No,92,Sweet Potato,Not Viable,Poor
6,180,42,24,5.8,2,Clay,Slope,NPK,No,95,Kangkung,Not Viable,Poor
6,180,42,24,5.8,2,Clay,Slope,Ammonium Sulfate,No,86,Chili,Not Viable,Poor
6,180,42,24,5.8,2,Loam,Lowland,Not,No,100,Corn,Not Viable,Poor
6,180,42,24,5.8,2,Loam,Lowland,Organic,Yes,96,Sweet Potato,Viable,Good
6,180,42,24,5.8,2,Loam,Lowland,NPK,No,100,Okra,Not Viable,Poor
6,180,42,24,5.8,2,Loam,Lowland,Ammonium Sulfate,No,100,Chili,Not Viable,Poor
6,180,42,24,5.8,2,Loam,Upland,Not,No,87,Okra,Not Viable,Poor
6,180,42,24,5.8,2,Loam,Upland,Organic,Yes,89,Corn,Viable,Good
6,180,42,24,5.8,2,Loam,Upland,NPK,No,85,Chili,Not Viable,Poor
6,180,42,24,5.8,2,Loam,Upland,Ammonium Sulfate,No,91,Corn,Not Viable,Poor
6,180,42,24,5.8,2,Loam,Slope,Not,No,79,Corn,Not Viable,Poor
6,180,42,24,5.8,2,Loam,Slope,Organic,Yes,77,Sweet Potato,Viable,Good
6,180,42,24,5.8,2,Loam,Slope,NPK,No,82,Chili,Not Viable,Poor
6,180,42,24,5.8,2,Loam,Slope,Ammonium Sulfate,No,84,Okra,Not Viable,Poor
7,220,52,31,4.8,4,Sandy,Lowland,Not,No,100,Corn,Not Viable,Poor
7,220,52,31,4.8,4,Sandy,Lowland,Organic,No,100,Corn,Not Viable,Poor
7,220,52,31,4.8,4,Sandy,Lowland,NPK,Yes,100,Corn,Viable,Fair
7,220,52,31,4.8,4,Sandy,Lowland,Ammonium Sulfate,No,100,Kangkung,Not Viable,Poor
7,220,52,31,4.8,4,Sandy,Upland,Not,No,100,Chili,Not Viable,Poor
7,220,52,31,4.8,4,Sandy,Upland,Organic,No,100,Okra,Not Viable,Poor
7,220,52,31,4.8,4,Sandy,Upland,NPK,Yes,100,Corn,Viable,Fair
7,220,52,31,4.8,4,Sandy,Upland,Ammonium Sulfate,No,95,Kangkung,Not Viable,Poor
7,220,52,31,4.8,4,Sandy,Slope,Not,No,93,Corn,Not Viable,Poor
7,220,52,31,4.8,4,Sandy,Slope,Organic,No,87,Chili,Not Viable,Poor
7,220,52,31,4.8,4,Sandy,Slope,NPK,Yes,92,Okra,Viable,Fair
7,220,52,31,4.8,4,Sandy,Slope,Ammonium Sulfate,No,93,Chili,Not Viable,Poor
7,220,52,31,4.8,4,Clay,Lowland,Not,No,100,Chili,Not Viable,Poor
7,220,52,31,4.8,4,Clay,Lowland,Organic,No,100,Chili,Not Viable,Poor
7,220,52,31,4.8,4,Clay,Lowland,NPK,No,100,Chili,Not Viable,Poor
7,220,52,31,4.8,4,Clay,Lowland,Ammonium Sulfate,No,100,Kangkung,Not Viable,Poor
7,220,52,31,4.8,4,Clay,Upland,Not,No,100,Sweet Potato,Not Viable,Poor
7,220,52,31,4.8,4,Clay,Upland,Organic,No,100,Kangkung,Not Viable,Poor
7,220,52,31,4.8,4,Clay,Upland,NPK,No,100,Sweet Potato,Not Viable,Poor
7,220,52,31,4.8,4,Clay,Upland,Ammonium Sulfate,No,100,Okra,Not Viable,Poor
7,220,52,31,4.8,4,Clay,Slope,Not,No,100,Kangkung,Not Viable,Poor
7,220,52,31,4.8,4,Clay,Slope,Organic,No,100,Corn,Not Viable,Poor
7,220,52,31,4.8,4,Clay,Slope,NPK,No,100,Kangkung,Not Viable,Poor
7,220,52,31,4.8,4,Clay,Slope,Ammonium Sulfate,No,100,Kangkung,Not Viable,Poor
7,220,52,31,4.8,4,Loam,Lowland,Not,No,100,Kangkung,Not Viable,Poor
7,220,52,31,4.8,4,Loam,Lowland,Organic,Yes,100,Kangkung,Viable,Fair
7,220,52,31,4.8,4,Loam,Lowland,NPK,No,100,Okra,Not Viable,Poor
7,220,52,31,4.8,4,Loam,Lowland,Ammonium Sulfate,No,100,Okra,Not Viable,Poor
7,220,52,31,4.8,4,Loam,Upland,Not,No,100,Okra,Not Viable,Poor
7,220,52,31,4.8,4,Loam,Upland,Organic,Yes,100,Kangkung,Viable,Fair
7,220,52,31,4.8,4,Loam,Upland,NPK,No,100,Kangkung,Not Viable,Poor
7,220,52,31,4.8,4,Loam,Upland,Ammonium Sulfate,No,100,Okra,Not Viable,Poor
7,220,52,31,4.8,4,Loam,Slope,Not,No,99,Corn,Not Viable,Poor
7,220,52,31,4.8,4,Loam,Slope,Organic,Yes,96,Sweet Potato,Viable,Fair
7,220,52,31,4.8,4,Loam,Slope,NPK,No,95,Corn,Not Viable,Poor
7,220,52,31,4.8,4,Loam,Slope,Ammonium Sulfate,No,100,Sweet Potato,Not Viable,Poor
8,170,40,22,6,2,Sandy,Lowland,Not,No,89,Sweet Potato,Not Viable,Poor
8,170,40,22,6,2,Sandy,Lowland,Organic,No,89,Okra,Not Viable,Poor
8,170,40,22,6,2,Sandy,Lowland,NPK,Yes,89,Corn,Viable,Excellent
8,170,40,22,6,2,Sandy,Lowland,Ammonium Sulfate,No,89,Corn,Not Viable,Poor
8,170,40,22,6,2,Sandy,Upland,Not,No,70,Kangkung,Not Viable,Poor
8,170,40,22,6,2,Sandy,Upland,Organic,No,74,Okra,Not Viable,Poor
8,170,40,22,6,2,Sandy,Upland,NPK,Yes,72,Chili,Viable,Excellent
8,170,40,22,6,2,Sandy,Upland,Ammonium Sulfate,No,72,Chili,Not Viable,Poor
8,170,40,22,6,2,Sandy,Slope,Not,No,61,Corn,Not Viable,Poor
8,170,40,22,6,2,Sandy,Slope,Organic,No,68,Okra,Not Viable,Poor
8,170,40,22,6,2,Sandy,Slope,NPK,Yes,61,Chili,Viable,Good
8,170,40,22,6,2,Sandy,Slope,Ammonium Sulfate,No,66,Kangkung,Not Viable,Poor
8,170,40,22,6,2,Clay,Lowland,Not,No,100,Kangkung,Not Viable,Poor
8,170,40,22,6,2,Clay,Lowland,Organic,No,100,Kangkung,Not Viable,Poor
8,170,40,22,6,2,Clay,Lowland,NPK,No,100,Corn,Not Viable,Poor
8,170,40,22,6,2,Clay,Lowland,Ammonium Sulfate,No,100,Corn,Not Viable,Poor
8,170,40,22,6,2,Clay,Upland,Not,No,95,Chili,Not Viable,Poor
8,170,40,22,6,2,Clay,Upland,Organic,No,92,Sweet Potato,Not Viable,Poor
8,170,40,22,6,2,Clay,Upland,NPK,No,100,Chili,Not Viable,Poor
8,170,40,22,6,2,Clay,Upland,Ammonium Sulfate,No,100,Sweet Potato,Not Viable,Poor
8,170,40,22,6,2,Clay,Slope,Not,No,82,Okra,Not Viable,Poor
8,170,40,22,6,2,Clay,Slope,Organic,No,88,Corn,Not Viable,Poor
8,170,40,22,6,2,Clay,Slope,NPK,No,80,Okra,Not Viable,Poor
8,170,40,22,6,2,Clay,Slope,Ammonium Sulfate,No,89,Chili,Not Viable,Poor
8,170,40,22,6,2,Loam,Lowland,Not,No,91,Corn,Not Viable,Poor
8,170,40,22,6,2,Loam,Lowland,Organic,Yes,100,Chili,Viable,Excellent
8,170,40,22,6,2,Loam,Lowland,NPK,No,99,Corn,Not Viable,Poor
8,170,40,22,6,2,Loam,Lowland,Ammonium Sulfate,No,100,Kangkung,Not Viable,Poor
8,170,40,22,6,2,Loam,Upland,Not,No,81,Kangkung,Not Viable,Poor
8,170,40,22,6,2,Loam,Upland,Organic,Yes,84,Chili,Viable,Excellent
8,170,40,22,6,2,Loam,Upland,NPK,No,90,Corn,Not Viable,Poor
8,170,40,22,6,2,Loam,Upland,Ammonium Sulfate,No,83,Okra,Not Viable,Poor
8,170,40,22,6,2,Loam,Slope,Not,No,73,Okra,Not Viable,Poor
8,170,40,22,6,2,Loam,Slope,Organic,Yes,76,Chili,Viable,Excellent
8,170,40,22,6,2,Loam,Slope,NPK,No,76,Okra,Not Viable,Poor
8,170,40,22,6,2,Loam,Slope,Ammonium Sulfate,No,74,Sweet Potato,Not Viable,Poor
9,30,18,9,11.5,0,Sandy,Lowland,Not,No,18,Sweet Potato,Not Viable,Poor
9,30,18,9,11.5,0,Sandy,Lowland,Organic,No,11,Okra,Not Viable,Poor
9,30,18,9,11.5,0,Sandy,Lowland,NPK,Yes,16,Corn,Not Viable,Poor
9,30,18,9,11.5,0,Sandy,Lowland,Ammonium Sulfate,No,12,Sweet Potato,Not Viable,Poor
9,30,18,9,11.5,0,Sandy,Upland,Not,No,8,Chili,Not Viable,Poor
